PeriodeAttente,Delais_d'attente,Region,Chirurgie_generale,Chirurgie_orthopedique,Chirurgie_plastique,Chirurgie_vasculaire,Neurochirurgie,Obstetrique_et_gynecologie,Ophtalmologie,ORL_chirurgie_cervico_faciale,Urologie,Autres,Total
1920-P12,0 à 6 mois,RSS01,489,560,33,0,0,178,705,73,144,301,2483
1920-P12,6 à 12 mois,RSS01,18,6,0,0,0,0,5,4,1,12,46
1920-P12,0 à 6 mois,RSS02,650,1072,219,65,141,237,911,284,317,134,4030
1920-P12,6 à 12 mois,RSS02,123,135,141,14,34,17,62,23,58,7,614
1920-P12,Plus d'1 an,RSS02,14,7,7,1,1,4,0,,5,0,39
1920-P12,0 à 6 mois,RSS03,1564,1936,184,105,202,614,1989,1038,528,528,8688
1920-P12,6 à 12 mois,RSS03,154,423,11,3,11,59,98,78,19,25,881
1920-P12,Plus d'1 an,RSS03,19,44,0,0,1,0,1,,,0,65
1920-P12,0 à 6 mois,RSS04,892,1069,189,111,152,442,684,313,437,258,4547
1920-P12,6 à 12 mois,RSS04,29,71,42,6,15,5,39,6,42,2,257
1920-P12,Plus d'1 an,RSS04,0,0,0,0,0,0,5,,5,0,10
1920-P12,0 à 6 mois,RSS05,975,1311,341,46,157,487,1968,697,365,210,6557
1920-P12,6 à 12 mois,RSS05,169,182,89,6,7,38,185,181,96,41,994
1920-P12,Plus d'1 an,RSS05,30,39,30,1,1,0,39,43,37,6,226
1920-P12,0 à 6 mois,RSS06,5758,5364,2955,261,477,2337,8385,3240,2138,1754,32669
1920-P12,6 à 12 mois,RSS06,1025,1162,944,29,129,269,807,905,645,161,6076
1920-P12,Plus d'1 an,RSS06,368,60,349,0,12,15,74,287,158,21,1344
1920-P12,0 à 6 mois,RSS07,746,681,246,45,91,189,787,400,114,193,3492
1920-P12,6 à 12 mois,RSS07,132,460,69,3,85,34,121,52,16,37,1009
1920-P12,Plus d'1 an,RSS07,20,83,3,0,60,3,27,2,95,6,299
1920-P12,0 à 6 mois,RSS08,376,596,6,0,0,177,184,73,118,159,1689
1920-P12,6 à 12 mois,RSS08,51,270,0,0,0,9,2,2,29,18,381
1920-P12,Plus d'1 an,RSS08,12,17,0,0,0,0,0,,,2,31
1920-P12,0 à 6 mois,RSS09,137,200,0,0,0,58,201,105,23,104,828
1920-P12,6 à 12 mois,RSS09,17,13,0,0,0,5,2,11,,10,58
1920-P12,Plus d'1 an,RSS09,0,0,0,0,0,0,0,,,4,4
1920-P12,0 à 6 mois,RSS10,65,0,0,0,0,23,0,9,,0,97
1920-P12,6 à 12 mois,RSS10,1,0,0,0,0,7,0,,,0,8
1920-P12,Plus d'1 an,RSS10,0,0,0,0,0,1,0,1,,0,2
1920-P12,0 à 6 mois,RSS11,163,224,9,0,0,56,131,98,10,55,746
1920-P12,6 à 12 mois,RSS11,11,28,0,0,0,3,5,7,,7,61
1920-P12,Plus d'1 an,RSS11,3,2,0,0,0,0,0,2,,2,9
1920-P12,0 à 6 mois,RSS12,797,1262,289,0,0,419,1015,454,230,304,4770
1920-P12,6 à 12 mois,RSS12,27,90,22,0,0,9,29,48,21,9,255
1920-P12,Plus d'1 an,RSS12,1,2,0,0,0,0,0,1,2,0,6
1920-P12,0 à 6 mois,RSS13,503,769,129,88,0,229,329,548,180,15,2790
1920-P12,6 à 12 mois,RSS13,120,261,39,3,0,90,4,126,19,2,664
1920-P12,Plus d'1 an,RSS13,50,80,20,1,0,5,4,6,1,0,167
1920-P12,0 à 6 mois,RSS14,956,965,216,65,0,256,1126,629,197,82,4492
1920-P12,6 à 12 mois,RSS14,166,234,86,10,0,14,193,155,55,11,924
1920-P12,Plus d'1 an,RSS14,10,19,71,0,0,0,0,9,23,0,132
1920-P12,0 à 6 mois,RSS15,1368,1705,240,77,0,648,1336,318,309,133,6134
1920-P12,6 à 12 mois,RSS15,263,116,151,28,0,55,285,55,180,21,1154
1920-P12,Plus d'1 an,RSS15,4,3,2,0,0,4,0,6,14,2,35
1920-P12,0 à 6 mois,RSS16,2246,3579,515,49,59,1157,2770,1382,685,154,12596
1920-P12,6 à 12 mois,RSS16,486,933,162,10,47,173,155,355,85,14,2420
1920-P12,Plus d'1 an,RSS16,67,89,7,1,14,3,1,75,17,2,276
1920-P13,0 à 6 mois,RSS01,480,614,35,0,0,188,664,83,150,287,2501
1920-P13,6 à 12 mois,RSS01,43,16,3,0,0,3,14,2,2,12,95
1920-P13,0 à 6 mois,RSS02,734,1160,230,61,142,265,1083,316,327,165,4483
1920-P13,6 à 12 mois,RSS02,153,198,155,15,17,30,123,42,83,12,828
1920-P13,Plus d'1 an,RSS02,10,10,16,3,4,5,2,,5,1,56
1920-P13,0 à 6 mois,RSS03,1692,1934,181,109,222,628,1942,567,698,469,8442
1920-P13,6 à 12 mois,RSS03,212,563,19,3,17,91,185,57,17,41,1205
1920-P13,Plus d'1 an,RSS03,3,74,0,0,1,0,0,,,1,79
1920-P13,0 à 6 mois,RSS04,944,1169,186,103,171,478,924,375,462,272,5084
1920-P13,6 à 12 mois,RSS04,63,155,68,18,22,19,89,10,55,6,505
1920-P13,Plus d'1 an,RSS04,0,0,0,0,1,0,3,,6,0,10
1920-P13,0 à 6 mois,RSS05,1044,1426,372,46,146,486,2060,738,370,228,6916
1920-P13,6 à 12 mois,RSS05,200,268,105,4,24,58,215,202,114,59,1249
1920-P13,Plus d'1 an,RSS05,40,43,38,2,1,2,62,72,49,8,317
1920-P13,0 à 6 mois,RSS06,6179,5577,2895,269,510,2521,9167,3310,2189,1597,34214
1920-P13,6 à 12 mois,RSS06,1331,1471,1179,36,146,362,1251,991,685,230,7682
1920-P13,Plus d'1 an,RSS06,424,135,428,2,29,31,119,375,222,28,1793
1920-P13,0 à 6 mois,RSS07,733,685,228,39,76,168,838,389,119,178,3453
1920-P13,6 à 12 mois,RSS07,177,501,80,8,95,55,138,72,21,53,1200
1920-P13,Plus d'1 an,RSS07,24,107,4,0,65,3,43,4,84,6,340
1920-P13,0 à 6 mois,RSS08,396,540,4,0,0,195,287,77,116,159,1774
1920-P13,6 à 12 mois,RSS08,68,344,1,0,0,18,6,6,38,23,504
1920-P13,Plus d'1 an,RSS08,15,34,0,0,0,0,0,,1,0,50
1920-P13,0 à 6 mois,RSS09,162,218,0,0,0,67,237,102,17,125,928
1920-P13,6 à 12 mois,RSS09,20,29,0,0,0,7,8,18,1,13,96
1920-P13,Plus d'1 an,RSS09,0,0,0,0,0,0,0,,,4,4
1920-P13,0 à 6 mois,RSS10,63,0,0,0,0,19,0,15,,1,98
1920-P13,6 à 12 mois,RSS10,2,0,0,0,0,7,0,,,0,9
1920-P13,Plus d'1 an,RSS10,0,0,0,0,0,1,0,1,,0,2
1920-P13,0 à 6 mois,RSS11,148,203,11,0,0,56,137,113,11,39,718
1920-P13,6 à 12 mois,RSS11,19,33,0,0,0,6,2,9,,7,76
1920-P13,Plus d'1 an,RSS11,2,0,0,0,0,0,0,3,,2,7
1920-P13,0 à 6 mois,RSS12,779,1361,278,0,0,438,1154,435,216,358,5019
1920-P13,6 à 12 mois,RSS12,59,155,50,0,0,15,80,70,37,18,484
1920-P13,Plus d'1 an,RSS12,1,0,0,0,0,0,0,2,2,0,5
1920-P13,0 à 6 mois,RSS13,467,728,116,96,0,235,309,508,170,20,2649
1920-P13,6 à 12 mois,RSS13,138,324,47,9,0,95,7,166,25,3,814
1920-P13,Plus d'1 an,RSS13,63,113,27,4,0,12,4,12,2,0,237
1920-P13,0 à 6 mois,RSS14,1041,933,231,56,0,297,1186,730,179,83,4736
1920-P13,6 à 12 mois,RSS14,253,382,101,12,0,27,259,170,57,9,1270
1920-P13,Plus d'1 an,RSS14,16,36,83,3,0,0,3,22,22,2,187
1920-P13,0 à 6 mois,RSS15,1459,1949,200,85,0,718,1446,379,373,139,6748
1920-P13,6 à 12 mois,RSS15,371,267,165,29,0,92,357,63,190,24,1558
1920-P13,Plus d'1 an,RSS15,24,9,19,2,0,4,4,8,26,3,99
1920-P13,0 à 6 mois,RSS16,2181,3632,553,51,51,1120,2886,1383,647,151,12655
1920-P13,6 à 12 mois,RSS16,643,1327,212,8,40,270,339,454,113,31,3437
1920-P13,Plus d'1 an,RSS16,105,210,15,1,23,16,7,114,20,4,515
2021-P01,0 à 6 mois,RSS01,473,664,34,0,0,189,662,107,149,282,2560
2021-P01,6 à 12 mois,RSS01,69,36,4,0,0,11,41,3,4,26,194
2021-P01,0 à 6 mois,RSS02,742,1189,226,54,159,280,1127,303,296,164,4540
2021-P01,6 à 12 mois,RSS02,183,241,152,24,17,29,131,62,109,16,964
2021-P01,Plus d'1 an,RSS02,18,21,25,5,4,8,10,,3,1,95
2021-P01,0 à 6 mois,RSS03,1728,1923,185,117,256,646,2002,628,758,482,8725
2021-P01,6 à 12 mois,RSS03,295,746,26,3,28,136,271,86,30,78,1699
2021-P01,Plus d'1 an,RSS03,6,116,0,0,1,0,2,,,2,127
2021-P01,0 à 6 mois,RSS04,944,1149,177,106,180,487,1002,382,477,255,5159
2021-P01,6 à 12 mois,RSS04,108,234,81,23,25,33,122,20,73,18,737
2021-P01,Plus d'1 an,RSS04,2,1,2,0,3,0,4,,13,0,25
2021-P01,0 à 6 mois,RSS05,1043,1417,500,36,133,500,2115,699,340,209,6992
2021-P01,6 à 12 mois,RSS05,231,316,130,7,37,70,279,227,110,76,1483
2021-P01,Plus d'1 an,RSS05,51,56,44,1,1,6,78,81,62,10,390
2021-P01,0 à 6 mois,RSS06,6151,5431,2768,266,488,2579,8996,3184,2148,1469,33480
2021-P01,6 à 12 mois,RSS06,1567,1897,1370,48,169,451,1706,1136,785,224,9353
2021-P01,Plus d'1 an,RSS06,474,196,485,4,43,44,146,436,279,27,2134
2021-P01,0 à 6 mois,RSS07,733,657,215,36,65,170,816,378,133,171,3374
2021-P01,6 à 12 mois,RSS07,213,519,97,6,91,67,116,100,23,50,1282
2021-P01,Plus d'1 an,RSS07,33,140,9,0,71,6,68,7,88,7,429
2021-P01,0 à 6 mois,RSS08,404,503,9,0,0,215,296,74,110,156,1767
2021-P01,6 à 12 mois,RSS08,88,393,0,0,0,19,11,11,48,39,609
2021-P01,Plus d'1 an,RSS08,16,39,0,0,0,0,0,,2,1,58
2021-P01,0 à 6 mois,RSS09,186,230,0,0,0,70,242,94,15,126,963
2021-P01,6 à 12 mois,RSS09,25,41,0,0,0,12,12,21,1,16,128
2021-P01,Plus d'1 an,RSS09,1,0,0,0,0,0,0,,,4,5
2021-P01,0 à 6 mois,RSS10,68,0,0,0,0,23,0,15,,1,107
2021-P01,6 à 12 mois,RSS10,2,0,0,0,0,7,0,,,0,9
2021-P01,Plus d'1 an,RSS10,0,0,0,0,0,1,0,1,,0,2
2021-P01,0 à 6 mois,RSS11,148,210,11,0,0,59,205,108,14,44,799
2021-P01,6 à 12 mois,RSS11,27,39,0,0,0,7,2,13,,8,96
2021-P01,Plus d'1 an,RSS11,3,0,0,0,0,0,1,2,,2,8
2021-P01,0 à 6 mois,RSS12,753,1378,266,0,0,456,1217,440,226,426,5162
2021-P01,6 à 12 mois,RSS12,105,223,73,0,0,19,133,82,48,20,703
2021-P01,Plus d'1 an,RSS12,4,2,0,0,0,1,0,3,3,0,13
2021-P01,0 à 6 mois,RSS13,446,665,110,90,0,196,312,499,159,19,2496
2021-P01,6 à 12 mois,RSS13,173,378,52,10,0,119,13,205,35,4,989
2021-P01,Plus d'1 an,RSS13,78,131,28,4,0,18,4,14,3,0,280
2021-P01,0 à 6 mois,RSS14,1090,871,229,61,0,296,1206,705,173,80,4711
2021-P01,6 à 12 mois,RSS14,288,461,106,12,0,41,253,193,55,5,1414
2021-P01,Plus d'1 an,RSS14,22,41,93,4,0,0,12,33,25,0,230
2021-P01,0 à 6 mois,RSS15,1471,1941,168,92,0,762,1345,363,328,139,6609
2021-P01,6 à 12 mois,RSS15,457,402,190,38,0,129,540,76,214,31,2077
2021-P01,Plus d'1 an,RSS15,52,10,31,2,0,5,4,13,39,2,158
2021-P01,0 à 6 mois,RSS16,2213,3458,514,52,48,1084,2808,1332,678,145,12332
2021-P01,6 à 12 mois,RSS16,747,1675,248,8,43,349,500,524,143,38,4275
2021-P01,Plus d'1 an,RSS16,148,268,35,1,26,28,9,143,27,4,689
2021-P02,0 à 6 mois,RSS01,541,735,29,0,0,186,660,120,187,308,2766
2021-P02,6 à 12 mois,RSS01,98,61,4,0,0,16,105,4,6,54,348
2021-P02,0 à 6 mois,RSS02,813,1148,191,45,161,269,1099,290,288,159,4463
2021-P02,6 à 12 mois,RSS02,211,346,174,24,29,43,197,87,131,29,1271
2021-P02,Plus d'1 an,RSS02,25,36,39,5,2,11,18,,10,1,147
2021-P02,0 à 6 mois,RSS03,1632,2161,212,118,261,685,2011,1195,767,499,9541
2021-P02,6 à 12 mois,RSS03,403,843,50,7,41,189,430,217,46,135,2361
2021-P02,Plus d'1 an,RSS03,30,163,2,0,0,5,2,,,5,207
2021-P02,0 à 6 mois,RSS04,971,1116,151,89,161,506,1015,363,555,241,5168
2021-P02,6 à 12 mois,RSS04,152,295,97,29,39,41,178,36,87,40,994
2021-P02,Plus d'1 an,RSS04,2,3,12,1,5,0,6,,16,0,45
2021-P02,0 à 6 mois,RSS05,1071,1378,862,46,127,534,1941,598,304,194,7055
2021-P02,6 à 12 mois,RSS05,234,383,124,8,49,82,398,225,108,89,1700
2021-P02,Plus d'1 an,RSS05,74,68,49,1,1,6,87,94,61,16,457
2021-P02,0 à 6 mois,RSS06,5917,5493,2745,279,479,2573,8635,2985,1909,1423,32438
2021-P02,6 à 12 mois,RSS06,1944,2460,1509,57,194,626,2256,1396,899,315,11656
2021-P02,Plus d'1 an,RSS06,545,327,582,7,54,59,209,547,325,37,2692
2021-P02,0 à 6 mois,RSS07,696,581,205,33,73,168,849,394,135,193,3327
2021-P02,6 à 12 mois,RSS07,259,573,111,7,88,77,127,133,35,58,1468
2021-P02,Plus d'1 an,RSS07,40,197,16,0,77,8,54,14,91,7,504
2021-P02,0 à 6 mois,RSS08,413,512,34,0,0,217,309,73,110,153,1821
2021-P02,6 à 12 mois,RSS08,103,397,0,0,0,27,19,13,52,47,658
2021-P02,Plus d'1 an,RSS08,24,80,0,0,0,0,0,,6,2,112
2021-P02,0 à 6 mois,RSS09,209,268,0,0,0,71,239,86,16,133,1022
2021-P02,6 à 12 mois,RSS09,25,46,0,0,0,12,13,26,1,26,149
2021-P02,Plus d'1 an,RSS09,2,1,0,0,0,1,0,,,5,9
2021-P02,0 à 6 mois,RSS10,71,0,0,0,0,21,0,15,,1,108
2021-P02,6 à 12 mois,RSS10,3,0,0,0,0,7,0,,,0,10
2021-P02,Plus d'1 an,RSS10,0,0,0,0,0,2,0,1,,0,3
2021-P02,0 à 6 mois,RSS11,150,205,12,0,0,49,213,92,18,45,784
2021-P02,6 à 12 mois,RSS11,33,57,1,0,0,9,3,17,,7,127
2021-P02,Plus d'1 an,RSS11,3,0,0,0,0,1,1,3,,1,9
2021-P02,0 à 6 mois,RSS12,832,1376,269,0,0,489,1139,422,226,335,5088
2021-P02,6 à 12 mois,RSS12,158,300,100,0,0,33,231,105,72,30,1029
2021-P02,Plus d'1 an,RSS12,7,5,1,0,0,1,0,3,4,1,22
2021-P02,0 à 6 mois,RSS13,432,663,92,110,0,163,327,437,166,23,2413
2021-P02,6 à 12 mois,RSS13,201,430,63,12,0,139,18,248,47,3,1161
2021-P02,Plus d'1 an,RSS13,91,163,29,5,0,31,4,18,7,2,350
2021-P02,0 à 6 mois,RSS14,1124,799,252,53,0,319,1516,699,217,83,5062
2021-P02,6 à 12 mois,RSS14,364,581,100,17,0,48,290,234,55,8,1697
2021-P02,Plus d'1 an,RSS14,42,55,106,5,0,1,27,43,28,0,307
2021-P02,0 à 6 mois,RSS15,1517,1897,164,94,0,834,1156,357,330,140,6489
2021-P02,6 à 12 mois,RSS15,573,622,207,41,0,171,650,86,224,31,2605
2021-P02,Plus d'1 an,RSS15,82,13,52,2,0,9,6,22,60,4,250
2021-P02,0 à 6 mois,RSS16,2351,3416,480,56,49,1050,2736,1217,698,143,12196
2021-P02,6 à 12 mois,RSS16,911,2010,259,7,41,450,859,637,178,48,5400
2021-P02,Plus d'1 an,RSS16,223,379,79,2,38,49,15,201,31,7,1024
2021-P03,0 à 6 mois,RSS01,443,734,20,0,0,163,594,112,185,358,2609
2021-P03,6 à 12 mois,RSS01,154,68,8,0,0,30,151,11,10,72,504
2021-P03,Plus d'1 an,RSS01,1,0,0,0,0,0,0,,,1,2
2021-P03,0 à 6 mois,RSS02,798,1041,171,47,178,245,864,238,257,131,3970
2021-P03,6 à 12 mois,RSS02,236,394,146,27,37,56,240,115,169,54,1474
2021-P03,Plus d'1 an,RSS02,39,42,40,4,3,11,30,1,12,1,183
2021-P03,0 à 6 mois,RSS03,1556,2058,274,103,243,618,1750,1116,720,434,8872
2021-P03,6 à 12 mois,RSS03,474,845,117,13,50,211,580,247,74,160,2771
2021-P03,Plus d'1 an,RSS03,51,158,8,1,1,15,6,4,,7,251
2021-P03,0 à 6 mois,RSS04,1003,1020,125,96,99,468,1170,316,556,254,5107
2021-P03,6 à 12 mois,RSS04,208,348,120,38,34,69,245,50,115,74,1301
2021-P03,Plus d'1 an,RSS04,3,8,16,2,6,0,12,1,21,0,69
2021-P03,0 à 6 mois,RSS05,997,1234,818,53,124,499,1721,445,299,199,6389
2021-P03,6 à 12 mois,RSS05,284,400,102,4,52,95,492,231,90,96,1846
2021-P03,Plus d'1 an,RSS05,87,78,41,3,2,10,82,101,65,15,484
2021-P03,0 à 6 mois,RSS06,5440,4845,2483,244,447,2383,7610,2589,1791,1316,29148
2021-P03,6 à 12 mois,RSS06,2383,3018,1584,81,201,772,3049,1714,974,365,14141
2021-P03,Plus d'1 an,RSS06,709,439,643,11,62,106,303,639,355,62,3329
2021-P03,0 à 6 mois,RSS07,583,487,163,25,83,176,825,382,112,174,3010
2021-P03,6 à 12 mois,RSS07,325,523,127,11,62,90,147,146,43,59,1533
2021-P03,Plus d'1 an,RSS07,39,245,26,0,104,11,71,18,87,11,612
2021-P03,0 à 6 mois,RSS08,363,503,37,0,0,194,275,66,104,75,1617
2021-P03,6 à 12 mois,RSS08,94,335,0,0,0,29,46,12,52,25,593
2021-P03,Plus d'1 an,RSS08,26,107,0,0,0,2,1,,4,0,140
2021-P03,0 à 6 mois,RSS09,169,209,0,0,0,57,196,69,13,116,829
2021-P03,6 à 12 mois,RSS09,30,38,0,0,0,18,13,25,1,25,150
2021-P03,Plus d'1 an,RSS09,3,1,0,0,0,1,0,1,,6,12
2021-P03,0 à 6 mois,RSS10,64,0,0,0,0,21,0,15,,1,101
2021-P03,6 à 12 mois,RSS10,11,0,0,0,0,3,0,,,0,14
2021-P03,Plus d'1 an,RSS10,0,0,0,0,0,2,0,1,,0,3
2021-P03,0 à 6 mois,RSS11,132,173,11,0,0,41,187,85,13,47,689
2021-P03,6 à 12 mois,RSS11,34,54,2,0,0,8,4,19,,12,133
2021-P03,Plus d'1 an,RSS11,4,4,0,0,0,1,1,1,,3,14
2021-P03,0 à 6 mois,RSS12,760,1273,227,0,0,468,1125,372,258,283,4766
2021-P03,6 à 12 mois,RSS12,213,339,139,0,0,50,361,152,80,41,1375
2021-P03,Plus d'1 an,RSS12,10,15,1,0,0,1,1,14,6,1,49
2021-P03,0 à 6 mois,RSS13,402,569,86,106,0,146,316,439,157,17,2238
2021-P03,6 à 12 mois,RSS13,238,440,55,23,0,144,33,266,50,10,1259
2021-P03,Plus d'1 an,RSS13,113,191,33,8,0,46,4,35,8,1,439
2021-P03,0 à 6 mois,RSS14,1100,719,226,55,0,278,1485,677,261,75,4876
2021-P03,6 à 12 mois,RSS14,423,591,109,18,0,65,289,244,48,14,1801
2021-P03,Plus d'1 an,RSS14,60,80,119,8,0,4,42,72,37,1,423
2021-P03,0 à 6 mois,RSS15,1342,1600,125,71,0,768,992,325,306,156,5685
2021-P03,6 à 12 mois,RSS15,728,908,204,40,0,236,664,117,222,34,3153
2021-P03,Plus d'1 an,RSS15,130,24,86,10,0,22,4,33,90,10,409
2021-P03,0 à 6 mois,RSS16,2079,3206,442,51,41,960,2564,1124,650,135,11252
2021-P03,6 à 12 mois,RSS16,1071,2067,253,10,37,520,1200,694,187,56,6095
2021-P03,Plus d'1 an,RSS16,294,527,107,5,45,66,26,265,37,10,1382
2021-P04,0 à 6 mois,RSS01,345,676,18,0,0,154,558,103,202,323,2379
2021-P04,6 à 12 mois,RSS01,199,65,10,0,0,39,148,11,15,55,542
2021-P04,Plus d'1 an,RSS01,1,0,0,0,0,0,0,,,4,5
2021-P04,0 à 6 mois,RSS02,824,1030,168,51,192,234,684,248,268,136,3835
2021-P04,6 à 12 mois,RSS02,238,396,144,25,41,58,248,104,167,47,1468
2021-P04,Plus d'1 an,RSS02,45,50,60,5,5,7,47,3,31,2,255
2021-P04,0 à 6 mois,RSS03,1537,2047,270,91,242,583,1547,1057,722,397,8493
2021-P04,6 à 12 mois,RSS03,492,873,183,18,54,196,580,211,98,177,2882
2021-P04,Plus d'1 an,RSS03,64,140,24,1,1,14,7,9,1,10,271
2021-P04,0 à 6 mois,RSS04,936,931,120,87,89,462,1144,318,484,265,4836
2021-P04,6 à 12 mois,RSS04,170,329,151,41,43,63,245,72,112,84,1310
2021-P04,Plus d'1 an,RSS04,1,12,18,2,6,1,14,1,22,0,77
2021-P04,0 à 6 mois,RSS05,1042,1089,729,39,134,552,1530,403,332,197,6047
2021-P04,6 à 12 mois,RSS05,303,360,94,3,66,98,670,234,97,96,2021
2021-P04,Plus d'1 an,RSS05,103,74,41,2,2,14,89,95,77,18,515
2021-P04,0 à 6 mois,RSS06,5195,4693,2304,229,402,2313,7341,2191,1689,1166,27523
2021-P04,6 à 12 mois,RSS06,2454,3149,1566,81,204,780,3482,1811,972,413,14912
2021-P04,Plus d'1 an,RSS06,778,578,679,14,83,100,389,668,381,58,3728
2021-P04,0 à 6 mois,RSS07,549,442,144,29,80,200,816,348,68,201,2877
2021-P04,6 à 12 mois,RSS07,358,468,134,12,65,80,175,149,42,53,1536
2021-P04,Plus d'1 an,RSS07,64,308,26,1,111,14,62,32,78,18,714
2021-P04,0 à 6 mois,RSS08,317,482,32,0,0,195,296,49,99,72,1542
2021-P04,6 à 12 mois,RSS08,90,341,1,0,0,33,48,12,47,26,598
2021-P04,Plus d'1 an,RSS08,25,112,0,0,0,3,2,,9,0,151
2021-P04,0 à 6 mois,RSS09,170,191,0,0,0,49,142,66,20,106,744
2021-P04,6 à 12 mois,RSS09,31,37,0,0,0,13,13,23,1,32,150
2021-P04,Plus d'1 an,RSS09,6,0,0,0,0,1,0,2,,7,16
2021-P04,0 à 6 mois,RSS10,60,0,0,0,0,21,0,10,,0,91
2021-P04,6 à 12 mois,RSS10,14,0,0,0,0,4,0,5,,0,23
2021-P04,Plus d'1 an,RSS10,0,0,0,0,0,1,0,1,,0,2
2021-P04,0 à 6 mois,RSS11,126,178,11,0,0,36,198,101,16,36,702
2021-P04,6 à 12 mois,RSS11,34,55,3,0,0,8,3,22,,15,140
2021-P04,Plus d'1 an,RSS11,5,2,0,0,0,0,1,1,,2,11
2021-P04,0 à 6 mois,RSS12,708,1144,198,0,0,412,1093,306,247,256,4364
2021-P04,6 à 12 mois,RSS12,240,395,143,0,0,55,401,168,83,53,1538
2021-P04,Plus d'1 an,RSS12,16,21,2,0,0,2,1,20,5,1,68
2021-P04,0 à 6 mois,RSS13,324,494,66,89,0,138,265,349,114,14,1853
2021-P04,6 à 12 mois,RSS13,215,497,68,30,0,119,27,241,46,12,1255
2021-P04,Plus d'1 an,RSS13,100,154,28,9,0,45,3,33,4,1,377
2021-P04,0 à 6 mois,RSS14,1046,635,197,66,0,280,1242,612,264,65,4407
2021-P04,6 à 12 mois,RSS14,457,655,112,20,0,84,398,293,50,17,2086
2021-P04,Plus d'1 an,RSS14,69,95,127,8,0,3,133,99,43,1,578
2021-P04,0 à 6 mois,RSS15,1090,1591,116,64,0,711,891,260,277,162,5162
2021-P04,6 à 12 mois,RSS15,742,1020,199,39,0,245,426,147,223,58,3099
2021-P04,Plus d'1 an,RSS15,168,46,96,12,0,24,7,39,118,15,525
2021-P04,0 à 6 mois,RSS16,2034,3091,462,33,54,953,2577,1028,675,170,11077
2021-P04,6 à 12 mois,RSS16,1106,2024,233,12,36,519,1373,643,190,62,6198
2021-P04,Plus d'1 an,RSS16,351,570,109,5,46,70,59,286,44,10,1550
2021-P05,0 à 6 mois,RSS01,311,614,16,0,0,108,515,94,193,263,2114
2021-P05,6 à 12 mois,RSS01,239,83,12,0,0,57,209,15,20,44,679
2021-P05,Plus d'1 an,RSS01,3,0,0,0,0,0,0,1,,5,9
2021-P05,0 à 6 mois,RSS02,817,933,135,40,252,212,591,218,248,126,3572
2021-P05,6 à 12 mois,RSS02,288,437,152,28,45,66,273,119,176,66,1650
2021-P05,Plus d'1 an,RSS02,52,31,79,8,4,7,48,2,43,1,275
2021-P05,0 à 6 mois,RSS03,1367,1868,213,68,253,493,1408,1063,687,374,7794
2021-P05,6 à 12 mois,RSS03,622,907,219,30,68,186,633,196,143,156,3160
2021-P05,Plus d'1 an,RSS03,72,109,32,1,2,5,11,6,2,4,244
2021-P05,0 à 6 mois,RSS04,836,835,102,70,74,374,1224,285,497,217,4514
2021-P05,6 à 12 mois,RSS04,195,371,143,48,51,68,292,88,121,113,1490
2021-P05,Plus d'1 an,RSS04,1,7,30,4,7,1,13,2,26,0,91
2021-P05,0 à 6 mois,RSS05,1007,1001,669,45,111,525,1334,400,297,172,5561
2021-P05,6 à 12 mois,RSS05,358,423,94,4,82,126,750,244,114,107,2302
2021-P05,Plus d'1 an,RSS05,110,87,45,1,2,14,77,101,81,20,538
2021-P05,0 à 6 mois,RSS06,4734,4226,2218,228,355,2185,5800,1793,1612,964,24115
2021-P05,6 à 12 mois,RSS06,2767,3628,1737,90,244,875,4067,1969,1050,496,16923
2021-P05,Plus d'1 an,RSS06,904,651,696,11,95,113,444,681,397,56,4048
2021-P05,0 à 6 mois,RSS07,542,438,115,31,73,244,856,267,76,195,2837
2021-P05,6 à 12 mois,RSS07,386,492,145,14,58,90,207,158,34,68,1652
2021-P05,Plus d'1 an,RSS07,66,337,27,1,115,13,43,31,71,26,730
2021-P05,0 à 6 mois,RSS08,292,373,33,0,0,172,239,36,88,90,1323
2021-P05,6 à 12 mois,RSS08,100,394,1,0,0,38,76,8,55,29,701
2021-P05,Plus d'1 an,RSS08,28,128,0,0,0,2,0,,9,0,167
2021-P05,0 à 6 mois,RSS09,163,220,0,0,0,58,103,58,14,123,739
2021-P05,6 à 12 mois,RSS09,47,46,0,0,0,18,13,20,2,41,187
2021-P05,Plus d'1 an,RSS09,6,2,0,0,0,1,0,,,9,18
2021-P05,0 à 6 mois,RSS10,52,0,0,0,0,21,0,10,,0,83
2021-P05,6 à 12 mois,RSS10,11,0,0,0,0,9,0,5,,0,25
2021-P05,Plus d'1 an,RSS10,0,0,0,0,0,1,0,1,,0,2
2021-P05,0 à 6 mois,RSS11,129,153,2,0,0,38,215,103,18,22,680
2021-P05,6 à 12 mois,RSS11,46,88,7,0,0,7,8,22,,18,196
2021-P05,Plus d'1 an,RSS11,6,4,0,0,0,1,1,1,,4,17
2021-P05,0 à 6 mois,RSS12,655,1045,173,0,0,349,935,268,261,387,4073
2021-P05,6 à 12 mois,RSS12,319,461,167,0,0,97,514,162,81,72,1873
2021-P05,Plus d'1 an,RSS12,17,33,7,0,0,3,2,22,8,2,94
2021-P05,0 à 6 mois,RSS13,286,457,71,67,0,129,214,270,97,13,1604
2021-P05,6 à 12 mois,RSS13,188,554,67,45,0,118,31,252,31,12,1298
